"","TRANS DATE","BILLING GROSS AMT","MERCHANT NAME","CARD NUMBER","TRANS CAC CODE 1","TRANS CAC DESC 1","TRANS CAC CODE 2","TRANS CAC DESC 2","Directorate","month"
"1",2019-10-03,75.59,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"2",2019-10-07,79.01,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"3",2019-10-07,61.5,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"4",2019-10-09,95.05,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"5",2019-10-10,83.42,"tesco pfs 3953","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"6",2019-10-10,89.81,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"7",2019-10-10,68.83,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"8",2019-10-14,91.06,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"9",2019-10-14,68.79,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"10",2019-10-15,95.45,"tesco pfs 3953","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"11",2019-10-15,76.43,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"12",2019-10-15,69.68,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"13",2019-10-16,90.03,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"14",2019-10-16,79.8,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"15",2019-10-16,77,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"16",2019-10-17,100.01,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"17",2019-10-18,89.88,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"18",2019-10-23,69.95,"tesco pfs 3953","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"19",2019-10-25,60,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"20",2019-10-25,36.4,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"21",2019-10-28,80.4,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"22",2019-10-29,88.61,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"23",2019-10-29,54.5,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"24",2019-10-29,93.88,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"25",2019-10-30,64.04,"applegreen kingstanding","************1555","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"26",2019-10-24,7.8,"the cod pot","************7755","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"27",2019-10-24,297,"hilton hotels","************7755","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"28",2019-10-17,111.35,"stationeryu","************9557","L100","Equip Operational","RBL03","Reg of Bth Dth & Mrg","NEIGHBOURHOODS","2019-10"
"29",2019-10-29,-111.35,"stationeryu","************9557","L100","Equip Operational","RBL03","Reg of Bth Dth & Mrg","NEIGHBOURHOODS","2019-10"
"30",2019-10-07,6.6,"the post office","************4644","L700","Postage","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"31",2019-10-08,170,"jurys inn plymouth front","************4644","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"32",2019-10-09,4.5,"the mess room","************4644","L220","Purchases Food","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"33",2019-10-13,-85,"jurys inn plymouth front","************4644","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"34",2019-10-14,4.8,"m6 toll","************4644","K240","Ttavel Other (UK)","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"35",2019-10-14,90,"holiday inn exprss","************4644","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"36",2019-10-02,46.28,"amznmktplace amazon.co.uk","************6219","L100","Equip Operational","RUA41","Lodge Hill Cemetery General","NEIGHBOURHOODS","2019-10"
"37",2019-10-09,462.7,"online turf","************6219","L080","Mat'l Raw/Drct","RUA41","Lodge Hill Cemetery General","NEIGHBOURHOODS","2019-10"
"38",2019-10-09,188.96,"amazon.co.ukmo2pi3av4 am","************6219","L100","Equip Operational","RUA41","Lodge Hill Cemetery General","NEIGHBOURHOODS","2019-10"
"39",2019-10-17,595,"www.poppylottery.safea","************6219","H2T0","Training Other","RUA41","Lodge Hill Cemetery General","NEIGHBOURHOODS","2019-10"
"40",2019-10-30,90.05,"tesco pay at pump 3953","************6633","K020","Vehicle Fuel","RLL2A","Sutton Park","NEIGHBOURHOODS","2019-10"
"41",2019-10-03,6.6,"post office counter","************6387","L700","Postage","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"42",2019-10-09,1.61,"ringgo","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"43",2019-10-10,13.1,"lul ticket machine","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"44",2019-10-11,4.25,"pret a manger","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"45",2019-10-11,147.51,"holiday inns","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"46",2019-10-13,7.99,"amazon primemo8k981u4 am","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"47",2019-10-11,13.1,"lul ticket machine","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"48",2019-10-14,32.4,"post office counter","************6387","L700","Postage","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"49",2019-10-14,27.99,"jessops","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"50",2019-10-18,34.74,"parcelforce","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"51",2019-10-21,33.42,"welcome break harry ra","************6387","L220","Purchases Food","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"52",2019-10-21,8.68,"oxford kfc","************6387","L220","Purchases Food","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
